,school,team,city,state_province,primary_conference,ncaa,team_page
233,United States Military Academy,Black Knights,West Point,NY,Patriot League,1,/wiki/Army_Black_Knights
234,United States Naval Academy,Midshipmen,Annapolis,MD,Patriot League,1,/wiki/Navy_Midshipmen
235,University of Alabama at Birmingham,Blazers,Birmingham,AL,Conference USA,1,/wiki/UAB_Blazers
236,University of Arizona,Wildcats,Tucson,AZ,Pac-12 Conference,1,/wiki/Weber_State_Wildcats
237,University of Arkansas,Razorbacks,Fayetteville,AR,Southeastern Conference,1,/wiki/Arkansas_Razorbacks
238,University of Arkansas at Little Rock,Trojans,Little Rock,AR,Ohio Valley Conference,1,/wiki/USC_Trojans
239,University of Arkansas at Pine Bluff,Golden Lions,Pine Bluff,AR,Southwestern Athletic Conference,1,/wiki/Arkansas%E2%80%93Pine_Bluff_Golden_Lions_and_Golden_Lady_Lions
240,"University of California, Berkeley",Golden Bears,Berkeley,CA,Pac-12 Conference,1,/wiki/California_Golden_Bears
241,"University of California, Davis",Aggies,Davis,CA,Big West Conference,1,/wiki/Utah_State_Aggies
242,"University of California, Irvine",Anteaters,Irvine,CA,Big West Conference,1,/wiki/UC_Irvine_Anteaters
243,"University of California, Los Angeles",Bruins,Los Angeles,CA,Pac-12 Conference,1,
244,"University of California, Riverside",Highlanders,Riverside,CA,Big West Conference,1,/wiki/UC_Riverside_Highlanders
245,"University of California, Santa Barbara",Gauchos,Santa Barbara,CA,Big West Conference,1,/wiki/UC_Santa_Barbara_Gauchos
246,University of Central Arkansas,Bears,Conway,AR,ASUN Conference,1,/wiki/Northern_Colorado_Bears
247,University of Central Florida,Knights,Orlando,FL,American Athletic Conference,1,/wiki/UCF_Knights
248,University of Cincinnati,Bearcats,Cincinnati,OH,American Athletic Conference,1,/wiki/Cincinnati_Bearcats
249,University of Colorado Boulder,Buffaloes,Boulder,CO,Pac-12 Conference,1,/wiki/Colorado_Buffaloes
250,University of Connecticut,Huskies,Storrs,CT,Big East Conference,1,/wiki/Washington_Huskies
251,University of Dayton,Flyers,Dayton,OH,Atlantic 10 Conference,1,/wiki/Dayton_Flyers
252,University of Delaware,Fightin' Blue Hens,Newark,DE,Colonial Athletic Association,1,/wiki/Delaware_Fightin%27_Blue_Hens
253,University of Denver,Pioneers,Denver,CO,Summit League,1,/wiki/Denver_Pioneers
254,University of Detroit Mercy,Titans,Detroit,MI,Horizon League,1,/wiki/Detroit_Mercy_Titans
255,University of Evansville,Purple Aces,Evansville,IN,Missouri Valley Conference,1,/wiki/Evansville_Purple_Aces
256,University of Florida,Gators,Gainesville,FL,Southeastern Conference,1,/wiki/Florida_Gators
257,University of Georgia,Bulldogs,Athens,GA,Southeastern Conference,1,/wiki/Yale_Bulldogs
258,University of Hartford,Hawks,Hartford,CT,America East Conference,1,/wiki/UMES_Hawks
